Book Name,Author,Rating,Number of Reviews,Price,Listening Time (Minutes),Rank,Genre,Processed_Description,cluster
Mossad: The Greatest Missions of the Israeli Secret Service,Michael Bar-Zohar,4.6,1848.5,820.0,874.0,329,Intelligence & Espionage,"The Mossad widely recognized today best intelligence service world . It also enigmatic , shrouded secrecy . In Mossad , author MichaelBar-Zohar Nissim Mishal take u behind closed curtain riveting , eye-opening , boots-on-the-ground account dangerous , crucial mission agency 's 60-year history . These real Mission : Impossible true story brimming high-octane action - breathtaking capture Nazi executioner Adolf Eichmann recent elimination key Iranian nuclear scientist .",0
"Heroes: Mortals and Monsters, Quests and Adventures",Stephen Fry,4.8,84.0,1093.0,900.0,227,Classic Literature,"Enter monstrous magical world Stephen Fry 's Sunday Times best seller Heroes , brought Penguin .",2
Coronavirus: A Book for Children,Elizabeth Jenner,4.5,612.5,0.0,17.0,33,Audiobooks on Diseases for Children,"What coronavirus , everyone talking ?",1
Ten Arguments For Deleting Your Social Media Accounts Right Now,Jaron Lanier,4.4,390.0,615.0,283.0,194,Technology & Society,"Random House present audiobook edition Ten Arguments For Deleting Your Social Media Accounts Right Now Jaron Lanier , read Oliver Wyman .",3
The Handmaid's Tale,Margaret Atwood,4.4,15674.0,1093.0,682.0,685,Literary Fiction,Brought Penguin .,2
Bhartiya Pauranik Kathaein [Indian Mythology],Devdutt Pattanaik,3.9,86.0,668.0,453.0,245,duism (Books),The multi-dimensional aspect character found Hindu spiritual world unlike . The Hindu Gods Goddesses embody positive well negative characteristic . Bhartiya Pauranik Kathaein discus opposing energy valued equally Hindu worldview balance time . The book also interprets meaning behind various classic Hindu myth symbolic art .,0
Swami Vivekananda: A Biography,Gautam Ghosh,4.2,35.0,668.0,412.0,273,Biographies & Autobiographies (Books),"After much tapasya , I understood highest truth : God present every . There God besides . He serf being serf God indeed .",1
Syahhashiye Aur Anya Kahaniyan [Syllabus and Other Stories],Saadat Hasan Manto,4.0,2.0,668.0,419.0,889,Short Stories (Books),"‘ If find story obscene filthy , society living obscene dirty , ’ said Manto . While Manto time accused obscenity , story addressed several social issue . With astute understanding complexity human nature ability write griping story , Manto considered one powerful voice time . This collection brings together Manto 's finest story including 'Chor ' , 'Mausam ki Shararat ' 'Paseena ' .",0
Yayaati,Vishnu Sakharam Khandekar,4.4,120.0,1003.0,1162.0,316,duism (Books),"The story Yayati perhaps one intriguing fascinating episode Mahabharata . Yayati great scholar one noblest ruler olden time . He followed shastras devoted welfare subject . Even king god , Indra , held high esteem . Married seductively beautiful Devyani , love maid Sharmishtha , father five son two woman , Yayati unabashedly declared , 'My lust pleasure unsatisfied ' . His quest carnal continued , sparing even youngest son , exchanging old age son 's youth .",0
"The Yugas: Keys to Understanding Our Hidden Past, Emerging Energy Age and Enlightened Future",Joseph Selbie,4.6,63.5,703.0,763.0,502,duism,"Today 's view history account ancient anomaly , Pyramids advanced knowledge contained India 's Vedas . But 1894 , Indian sage gave u explanation hidden past trend today future enlightenment - 24,000-year yuga cycle .",1
Jeeves & Wooster: The Collected Radio Dramas,P.G. Wodehouse,4.6,40.0,1093.0,1076.0,599,Humour (Books),"A rollicking collection ix acclaimed dramatisation P.G Wodehouse 's Jeeves & Wooster novel , starring Michael Hordern Richard Briers Jeeves Wooster . Also featuring Maurice Denham , Paul Eddington , David Jason , John Le Mesurier , Miriam Margolyes , Jonathan Cecil , Liza Goddard Patrick Cargill .",0
The Yoga Sutras of Patanjali,Sri Swami Satchidananda,4.8,1329.5,668.0,570.0,268,duism (Books),"Swami Satchidananda 's popular translation commentary Yoga Sutras Patanjali unabridged audiobook form , additional feature bonus track included 9-1/2 hour program .",1
"The Most Beloved Children’s Bedtime Stories: 15 Aesop’s Fables for Kids, The Three Little Pigs, Little Red Riding Hood, Goldilocks and the Three Bears, Snow White and the Seven Dwarfs and Many More",Joanna White,-1.0,267.25,501.0,188.0,652,"Fairy Tales, Folk Tales & Myths for Children",This selection bedtime story child includes following story :,0
Losing My Virginity,Richard Branson,4.6,771.5,615.0,325.0,1,Analysis & Strategy,"By completing purchase agree Audible ’ Conditions Use , Amazon 's Privacy Notice applicable Audible 's Recurring Payment Terms .",4
The Gita for Children,Roopa Pai,4.5,484.0,668.0,470.0,514,Children's Literature & Fiction (Books),"It 's one oldest book world India 's biggest blockbuster best seller ! But n't meant religious old people ? But n't long ? And , erm , super difficult read ? And n't stuff talk way complex regular folk understand ?",1
The Brain: The Story of You,David Eagleman,4.7,1019.0,683.0,336.0,320,Textbooks & Study Guides,"This story life shape brain brain shape life . Locked silence darkness skull , brain fashion rich narrative reality identity .",1
Zak George’s Dog Training Revolution: The Complete Guide to Raising the Perfect Pet with Love,Zak George,4.6,2376.5,820.0,404.0,826,Pets & Animal Care (Books),"Celebrity dog trainer , YouTube sensation , Animal Planet star Zak George present next-generation guide us infectiously energetic style teach dog-lovers everything need know raising training unique pup .",1
Matilda: Narrated by Kate Winslet,Roald Dahl,4.7,2236.5,615.0,258.0,238,Fiction on Adoption for Children,"Penguin present audiobook edition Matilda Roald Dahl , read Kate Winslet .",3
Skin in the Game: Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,4.4,795.0,1005.0,500.0,772,Ethics & Morality Philosophy,Number-one New York Times best seller,0
The Dutch House,Ann Patchett,4.4,5798.5,721.0,593.0,381,Women's Fiction,Longlisted Women 's Prize Fiction 2020,0
Dune: Il ciclo di Dune 1,Frank P. Herbert,4.4,151.0,1073.0,1231.0,-1,",Standard Italian","Arrakis è il pianeta più inospitale della galassia . Una landa di sabbia e rocce popolata da mostri striscianti e sferzata da tempeste devastanti . Ma sulla sua superficie cresce il melange , la sostanza che dà agli uomini la facoltà di aprire propri orizzonti mentali , conoscere il futuro , acquisire le capacità per manovrare le immense astronavi che garantiscono gli scambi tra mondi e la sopravvivenza stessa dell'Impero .",1
Half Girlfriend,Chetan Bhagat,4.2,8188.0,568.0,529.0,1,Romance (Books),"Once upon time , Bihari boy called Madhav . He fell love girl called Riya . Madhav n't speak English well . Riya . Madhav wanted relationship . Riya n't . Riya wanted friendship . Madhav n't . Riya suggested compromise . She agreed half girlfriend .",1
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",Michael Watkins,4.5,276.5,703.0,418.0,239,Leadership,The world ’ trusted guide leader transition .,0
The Truths We Hold: An American Journey,Kamala Harris,4.7,533.0,683.0,566.0,1,Politics,"Random House present audiobook edition The Truths We Hold , written read Kamala Harris .",3
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,4.6,1247.5,668.0,367.0,751,Personal Success,`` The impediment action advance action . What stand way becomes way . '' ( Marcus Aurelius ),1
WordMaster,Denis E. Waitley,4.2,48.0,2008.0,621.0,244,Education (Books),"WordMaster us science word order , suggestopedic music , male/female voice ensure get vocabulary building least time minimum effort .",1
I Can't Make This Up: Life Lessons,Neil Strauss - contributor,4.7,1601.5,1003.0,675.0,964,Personal Success,"Superstar comedian Hollywood box-office star Kevin Hart turn immense talent written word writing word . Some word include : , , , , even even . Put together funniest , heartfelt , inspirational memoir survival , success , importance believing since Old Yeller .",1
The Montessori Toddler,Simone Davies,4.8,2320.0,1172.0,442.0,530,Relationships,This guide offer step-by-step plan help parent cultivate daily routine turn life toddler mutually rich time curiosity learning .,1
Evolve Your Brain: The Science of Changing Your Mind,Joe Dispenza D.C.,4.7,532.0,1172.0,1117.0,449,Neuroscience & Neuropsychology,"Joe Dispenza , DC , spent decade studying human mind - work , store information , perpetuates behavioral pattern . In acclaimed film What Bleep Do We Know ! ? , began explain brain evolves - learning new skill , developing ability concentrate midst chaos , even healing body psyche . Evolve Your Brain present information depth , helping take control mind , explaining thought create chemical reaction keep addicted pattern feeling - including one make unhappy . And know bad habit created , 's possible break pattern , also reprogram evolve brain , new , positive , beneficial habit take .",1
A Killer Among Us: One Murder & a Building Full of Suspects,Ushasi Sen Basu,4.9,17.0,668.0,408.0,839,Mysteries,What strip away polite veneer apartment complex lay bare world secret lie ? The discovery stranger ’ body premise .,1
Who Moved My Cheese?,Tony Roberts,4.6,5910.0,615.0,99.0,254,Analysis & Strategy,"Random House present audiobook edition Who Moved My Cheese ? Spencer Johnson , read Tony Roberts Karen Ziemba , introduction read Kenneth Blanchard .",3
"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive",Kevin Horsley,4.6,1950.5,233.0,148.0,26,g & Wellness,Kevin Horsley broke world memory record 2013 ....,1
No Calculator? No Problem!: Mastering Mental Math,Art Benjamin,5.0,1.0,1003.0,346.0,1,Education (Books),"No calculator ? No problem ! Whether listener prepping standardized test trying figure check , mathematician Dr. Arthur Benjamin teach listener fundamental mental addition , subtraction , multiplication , division . From , listener turn art `` guess-timation '' problem ’ require exact answer . Listeners learn :",1
More of Poirot's Finest Cases: Seven Full-Cast BBC Radio Dramatisations,Agatha Christie,4.8,12.0,1093.0,807.0,452,Short Stories (Books),John Moffat star great Belgian detective Hercule Poirot seven BBC Radio 4 full-cast dramatisation .,1
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Satyajit Rai,5.0,1.0,668.0,492.0,550,Short Stories (Books),"Satyajit Ray well known contribution Indian literature . His short story often explore macabre supernatural often marked keen characterization . This collection brings together Ray ’ best short story - including timeless gem ‘ Professor Hijibijbi ’ , ‘ Ratan Babu aur Veh Admi ’ ‘ Bhakt ’ . A collection 12 short story .",0
"The Book of Ichigo Ichie: The Art of Making the Most of Every Moment, the Japanese Way",Francesc Miralles,4.6,127.0,873.0,200.0,379,Personal Development,"Learn make every moment once-in-a-lifetime experience definitive guide Japanese art ichigo ichie , best-selling author Ikigai .",0
The Four Agreements,don Miguel Ruiz,4.6,12585.0,501.0,151.0,627,"d, Body & Spirit","Don Miguel Ruiz dedicated life sharing wisdom ancient Toltec . For two decade , guided others toward personal freedom . Today , continues combine unique blend ancient wisdom modern-day awareness journey sacred site around world .",1
Summary of Awaken the Giant Within by Tony Robbins,Dean Bokhari,-1.0,267.25,117.0,43.0,2,Personal Development & Self-Help,Book summary Awaken Giant Within Tony Robbins .,0
Ek Chota Sa Kadam Aapki Zindagi Badal Sakta Hai [One Small Step Can Change Your Life],Robert Maurer,4.4,101.5,668.0,310.0,498,Personal Development & Self-Help,"From moment step world , programmed told believe kind 'change ' hard effectuate . We told something must hard fought n't come without great deal struggle . Get ready discard antiquated understanding life process .",1
Children of Time,Adrian Tchaikovsky,4.5,3737.0,873.0,991.0,714,Space Opera Science Fiction,Adrian Tchaikovksy 's critically acclaimed stand-alone novel Children Time epic story humanity 's battle survival terraformed planet .,0
Private Party: Love in Times of Tinder,Shanaya Taneja,3.6,4.0,0.0,19.0,48,Adult Collections & Anthologies,"You meet Malini , young woman ! She hard-partying rich woman enjoys luxury high finance afford . With overwhelming beauty life leisure , delf opportunity fulfil . She plan big private party promise extra wild , select audience invited .",1
Agni Ki Udaan [Flight of Fire],A.P.J Abdul Kalam,4.6,578.0,668.0,431.0,506,Biographies & Autobiographies (Books),"Dr. Kalam firm belief - one u born strength potential make tangible change world . In Agni Ki Udaan , Dr. Kalam recount life journey evokes listener need discover inner fire potential .",1
Eleven Minutes,Paulo Coelho,4.3,1172.5,5709.0,373.0,899,Personal Development & Self-Help,"Eventually , Maria 's despairing view love put test meet handsome young painter . In odyssey self-discovery , Maria choose pursuing path darkness , 'sexual pleasure sake ' , risking everything find 'inner light ' possibility sacred sex , sex context love .",1
Revolution Twenty20: Love. Corruption. Ambition,Chetan Bhagat,-1.0,267.25,568.0,618.0,1,Romance (Books),"In Revolution Twenty20 , Chetan Bhagat explores life three close friend Varanasi , set backdrop India 's corrupt political system .",1
"So Long, Lollipops: The Free Until The End of the World Novella",Sarah Lyons Fleming,4.8,174.0,0.0,192.0,30,Post-Apocalyptic Science Fiction,* * WARNING * *,1
"Sorry, You're Not My Type",Sudeep Nagarkar,-1.0,267.25,502.0,259.0,902,Contemporary Fiction (Books),All relationship come precautionary warning : HANDLE WITH CARE .,1
The Theory of Everything: The Origin and Fate of the Universe,Stephen W. Hawking,4.6,2727.5,612.0,210.0,512,Earth Sciences Books,"Now , Hawking present even comprehensive look universe , creation , see within . Imagine sitting comfortable room listening Hawking discus latest theory place historical context science 's great achievement -- would like hearing Christopher Columbus deliver news new world .",1
Understanding Digital Marketing: Marketing Strategies for Engaging the Digital Generation,Damian Ryan,4.6,32.5,1005.0,961.0,864,Internet & Social Media (Books),"The world digital medium changing phenomenal pace . Constantly evolving technology transforming access information interact communicate one another global scale . Understanding Digital Marketing practical , no-nonsense guide web-marketing , rule new medium researching new generation digital consumer . Clear , informative entertaining , cover key topic search marketing , social medium , Google , mobile marketing , affiliate marketing , email marketing , performance marketing , customer engagement digital marketing strategy .",1
Pax Indica: India and the World of the 21st Century,Shashi Tharoor,4.4,357.0,1382.0,1250.0,572,Essays (Books),"The book Pax Indica : India World 21st Century , written Indian author Shashi Tharoor , emphasis Indian diplomacy role global world . The book give u insightful interesting coverage India 's foreign policy policy affect common man . It also explains Indian politics policy important India focused domestic transformation . Shashi Tharoor survey examines major International relationship , offer suggestion country 's need required platform , along country 's responsibility maintain position globally , making book informative text people world .",0
The Ultimate Jim Rohn Library,Jim Rohn,5.0,1.0,2008.0,683.0,323,Personal Development & Self-Help,"So , Jim Rohn made tremendously effective teaching others become massively successful ?",1
Pehchane Shareer ki Bhasha [The Definitive Book of Body Language],Allan Pease,4.3,76.0,836.0,677.0,881,Personal Development & Self-Help,"Pehchane Sharir Ki Bhasha , The Definitive Book Body Language Hindi , title suggests , definitive book delf science body language , written lucid engaging manner . The author book hope spread expert knowledge body language mass revealing secret body language They also assert often people say quite different think feel .",0
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,4.3,1244.0,683.0,571.0,288,Memory Improvement,"The unabridged , downloadable audiobook edition Moonwalking Einstein : The Art Science Remembering Everything , Joshua Foer 's part-memoir , part-guide mastering memory . Read Mike Chamberlain . On average , people squander forty day annually trying remember thing ’ forgotten . Joshua Foer used one people . But year training , found final U.S. Memory Championship . He also discovered truth often forget : In every way , sum memory . In Moonwalking Einstein Foer draw cutting-edge research , cultural history memory technique 'mental atheletes ' transform understanding human remembering . He learns ancient method used Cicero Medieval scholar .",1
The New Market Wizards: Conversations with America's Top Traders,Jack D. Schwager,4.5,262.0,836.0,961.0,352,Analysis & Strategy,"In The New Market Wizards , successful trader relate financial strategy rocketed success . Asking question listener interest involvement financial market would love pose financial superstar , Jack D. Schwager encourages financial wizard share insight . Entertaining , informative , invaluable , The New Market Wizards destined become another Schwager classic .",1
Dilli Darbaar (Hindi Edition),Satya Vyas,4.2,364.0,668.0,318.0,967,Romance (Books),"Dilli Darbaar story young , jovial techno-geek called Rahul Mishra journey careless flirt responsible man . Rahul move small town Delhi better future prospect , brings change life lifestyle must adapt . His mantra life 'there always shortcut success ' - ironically prof right eccentric way .",1
Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,4.6,934.0,668.0,343.0,249,Analysis & Strategy,Do n't simply show data - tell story !,1
Getting Things Done With Work-Life Balance,David Allen,-1.0,267.25,1439.0,394.0,462,Personal Development & Self-Help,Relax - You 'll automatically complete control everything life !,1
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.7,1968.5,1338.0,3431.0,476,European History (Books),"Since publication 1960 , William L. Shirer ’ monumental study Hitler ’ German empire widely acclaimed definitive record 20th century ’ blackest hour . The Rise Fall Third Reich offer unparalleled thrillingly told examination Adolf Hitler nearly succeeded conquering world . With million copy print around globe , attained status vital enduring classic .",1
"Life Is What You Make It: A story of love, hope and how determination can overcome even destiny",Preeti Shenoy,4.1,5290.0,501.0,348.0,257,Anthologies (Books),"What would destiny twisted road took ? What threw place want go ? Would fight , would run would accept ?",1
Peak: Secrets from the New Science of Expertise,Robert Pool,4.5,174.5,752.0,640.0,29,Textbooks & Study Guides,Mozart n't born perfect pitch . Most athlete born natural advantage . Three world-class chess player sister whose success planned parent even born .,1
Chanakya's Chant,Ashwin Sanghi,4.2,933.0,836.0,907.0,802,"Crime, Thriller & Mystery (Books)","Chanakya 's Chant thrilling novel tell listener sharp parallel story two individual . One individual person brought scattered Indian subcontinent reign Chandragupta Maurya-Chanakya . Chanakya one wisest political strategist ever lived history India . The second protagonist Gangasagar Mishra , rather insignificant Brahmin teacher seems struggling make end meet actually reincarnation Chanakya .",0
Khullam Khulla [Openly]: Rishi Kapoor Dil Se [Rishi Kapoor Uncensored],Rishi Kapoor,4.4,29.0,668.0,583.0,719,Biographies & Autobiographies (Books),"Few actor Hindi cinema sort career arc : gawky adolescent pining schoolteacher ( Mera Naam Joker , 1970 ) naughty 90-year-old ( Kapoor & Sons , 2016 ) , Rishi Kapoor regaled audience close 50 year . He National Award debut , became overnight sensation first film leading man ( Bobby , 1973 ) carved niche string romantic musical blockbuster era known angst-ridden film .",1
The White Tiger,Aravind Adiga,4.4,1553.5,1192.0,490.0,577,Mysteries,"British Book Awards , Author Year , 2009 .",0
Critical Business Skills for Success,The Great Courses,-1.0,267.25,2008.0,1878.0,387,Personal Development & Self-Help,"What take reach success business - kind success last ? How set apart competitor venture different market ? What take develop streamlined process , become stronger team leader , work way corporate ladder ?",1
50 Self-Help Classics to Guide You to Financial Freedom,Napoleon Hill,5.0,1.0,32.0,5701.0,948,Personal Development & Self-Help,This Audiobook contains following work :,1
The Body: A Guide for Occupants,Bill Bryson,4.7,3482.0,721.0,887.0,219,Textbooks & Study Guides,'We spend whole life one body yet u practically idea work go inside . The idea book simply try understand extraordinary contraption u . ’,1
Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,4.7,3337.5,888.0,562.0,705,Leadership,Brought Penguin .,2
"The Lightning Thief: Percy Jackson, Book 1",Rick Riordan,4.7,6457.5,888.0,600.0,997,Action & Adventure Fantasy for Children,"Look , I n't want half-blood . I never asked son Greek God . I normal kid , going school , playing basketball , skateboarding . The usual . Until I accidentally vaporized math teacher . That 's thing started really going wrong . Now I spend time fighting sword , battling monster friend , generally trying stay alive .",1
"The 4-Hour Body: An uncommon guide to rapid fat-loss, incredible sex and becoming superhuman",Timothy Ferriss,4.3,3447.5,615.0,231.0,112,History (Books),"Do want lose fat , double testosterone , get perfect posterior give partner fifteen-minute female orgasm ? Whatever physical goal , The 4-Hour Body eclipse every health manual sharing best kept secret latest science research provide new strategy redesigning human body . And n't need exhaust . International bestselling author , Timothy Ferriss , help reach true genetic potential 3-6 month commitment le four hour per week . You pick choose menu option , simple extreme , dramatic body change . Based 15 year research , The 4-Hour Body give unbelievable result change way look forever .",1
A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,Matthew R. Kratter,4.4,2054.0,233.0,102.0,158,Textbooks & Study Guides,"Learn make money stock market , even 've never traded .",1
Execution: The Discipline of Getting Things Done,Larry Bossidy,4.3,310.5,879.0,494.0,1,ess Management,"Larry Bossidy one world 's acclaimed CEOs , track record delivering result . Ram Charan legendary adviser senior executive board director , man unparalleled insight company successful others . Together 've pooled knowledge experience one guide close gap result promised result delivered .",1
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,4.6,2178.5,773.0,691.0,271,Biographies & Autobiographies (Books),"By completing purchase agree Audible ’ Conditions Use , Amazon 's Privacy Notice applicable Audible 's Recurring Payment Terms .",4
Murder on the Orient Express: An Audible Original Drama,Agatha Christie,-1.0,267.25,858.0,347.0,426,Traditional Detective Mysteries,Winner 2018 CAMEO Book Audio Award,0
Swami Vivekananda: The Living Vedanta,Chaturvedi Badrinath,4.3,40.0,1131.0,770.0,638,Biographies & Autobiographies (Books),"The Vedanta inseparable part Swami Vivekananda ’ personality . He lived breathed philosophy preaching India West . While Vivekananda ’ landmark address Parliament Religions Chicago 1893 established modern India ’ great spiritual leader , popularity appeal attributed ability integrate human side profound spiritual side .",1
Dhan ko Akarshit Kaise Kare [How to Attract Money],Dr. Joseph Murphy,4.3,126.0,233.0,128.0,1,Personal Development & Self-Help,"According Joseph Murphy , subconscious desire attract force towards . “ Wealth state consciousness ; mind conditioned divine supply forever flowing , '' say . Therefore , thing need rich life already subconscious mind .",1
"Boundless: Upgrade Your Brain, Optimize Your Body & Defy Aging",Ben Greenfield,4.8,792.5,1003.0,2479.0,1,e,"What ability look , feel , perform peak capacity ’ stuff lore instead within easy reach ?",1
Aatma Sutra: Aatma Ka Anavaran (Hingori Sutras),Hingori,4.4,4.0,668.0,491.0,1,"d, Body & Spirit","This book hope act internal X-ray mirror , reflecting YOU .",1
Maps of Meaning,Jordan B. Peterson,4.7,769.0,1759.0,1852.0,587,Textbooks & Study Guides,Jordan B. Peterson 's Maps Meaning available first time audio download !,0
The Restaurant at the End of the Universe,Douglas Adams,4.6,595.0,323.0,347.0,592,"Movie, TV & Video Game Tie-In Fiction","If ’ done six impossible thing morning , round breakfast Milliways , Restaurant End Universe ? Which exactly crew Heart Gold plan . There ’ small matter escaping Vogons , avoiding taken totally evil world Galaxy teaching space ship make proper cup tea . And anyone actually make reservation ?",1
Who's the Boss: Love in Times of Tinder,Shanaya Taneja,3.0,24.0,0.0,17.0,23,Adult Collections & Anthologies,"I thought losing thing easy - like losing key , wallet , smartphone follower Facebook .",1
The Universe Has Your Back: Transform Fear into Faith,Gabrielle Bernstein,4.6,2544.5,586.0,271.0,1,Personal Development & Self-Help,"In latest book , The Universe Has Your Back , New York Times best-selling author Gabrielle Bernstein teach listener transform fear faith order live divinely guided life . Each story lesson book guide listener release block long : happiness , security , clear direction . The lesson help listener relinquish need control relax sense certainty freedom . Listeners learn stop chasing life truly live . Making shift fear faith give listener sense power world often make feel utterly powerless . When tragedy world seem overwhelming , book help guide back true power .",0
"Basic Economics, Fifth Edition: A Common Sense Guide to the Economy",Thomas Sowell,4.8,707.5,1288.0,1427.0,1,Textbooks & Study Guides,"In fifth edition Basic Economics , Thomas Sowell revise update popular book commonsense economics , bringing world clearer focus basic understanding fundamental economic principle explain life . Drawing lively example around world century history , Sowell explains basic economic principle general public plain English .",1
The Martian,Andy Weir,4.7,33275.5,1171.0,659.0,1,Suspense,"A brand-new production Andy Weir ’ modern sci-fi classic , narrated incomparable Wil Wheaton , featuring bonus content writing Mark Watney .",1
"No More Mr. Nice Guy: A Proven Plan for Getting What You Want in Love, Sex and Life (Updated)",Dr Robert Glover,4.5,2269.0,938.0,409.0,443,Family & Relationships,"Originally published eBook became controversial medium phenomenon , No More Mr. Nice Guy ! landed author , certified marriage family therapist , The O'Reilly Factor Rush Limbaugh radio show .",0
The Nightingale,Kristin Hannah,4.8,40898.5,323.0,1039.0,430,Women's Fiction,"Two sister . One must brave . One afraid . Bravery , courage , fear , love time war . Despite difference sister Viann Isabelle always close .",1
Devil's Advocate: The Untold Story,Karan Thapar,4.4,163.5,668.0,447.0,1,Biographies & Autobiographies (Books),"In memoir , narrated Karan Thapar 's trademark incisive style , author relates different story life , personal anecdote childhood , college day marriage encounter various well-known personality course anchoring TV show .",1
Awareness: Conversations with the Masters,Anthony de Mello,4.6,971.5,668.0,446.0,1,Christianity (Books),Awareness awakens truth posse everything need right happy fulfilled .,1
The Diabetes Code: Prevent and Reverse Type 2 Diabetes Naturally,Dr. Jason Fung,4.7,3047.5,1003.0,444.0,434,e,"From acclaimed author Dr. Jason Fung , revolutionary guide reversing diabetes .",1
"Making Sense: Conversations on Consciousness, Morality and the Future of Humanity",Sam Harris,4.65,42.0,1093.0,1346.0,399,Church & State,Brought Penguin .,2
The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life - Before 8AM,Hal Elrod,4.6,3843.5,501.0,297.0,294,Analysis & Strategy,"What could miraculously wake tomorrow - every area life transformed ? What would different ? Would happier ? Healthier ? More successful ? In better shape ? Would energy ? Less Stress ? More Money ? Better relationship ? Which problem would solved ? What I told `` not-so-obvious '' secret guaranteed transform - literally every area life , faster ever thought possible ? What I told would take 6 minute day ?",1
Think Like a Rocket Scientist: Simple Strategies for Giant Leaps in Work and Life,Ozan Varol,4.7,177.0,888.0,644.0,1,Personal Development & Self-Help,"Named 'must read ' Susan Cain , 'endlessly fascinating ' Daniel Pink , 'bursting practical insight ' Adam Grant .",1
The Five Rules for Successful Stock Investing: Morningstar's Guide to Building Wealth and Winning in the Market,Pat Dorsey,4.6,232.5,836.0,713.0,125,Analysis & Strategy,"Over year , people around world turned Morningstar strong , independent , reliable advice . The Five Rules Successful Stock Investing provides kind savvy financial guidance company like Morningstar could offer . Based philosophy `` investing fun , game '' , comprehensive guide put even cautious investor back right track helping pick right stock , find great company , understand driving force behind different industry - without paying much investment .",1
Maalgudi Ki Kahaniyan [Stories of Malgudi],R.K. Narayan,4.3,118.0,836.0,655.0,618,Short Stories (Books),Indian short story offer reader authentic peek various aspect Indian life . The one written R. K. Narayan stand large collection Indian short tale available .,0
The 80/20 Principle: The Secret to Success by Achieving More with Less,Richard Koch,4.4,220.0,1439.0,407.0,286,Time Management & Productivity,Secrets 80/20 Principle revealed !,1
Queeristan: LGBTQ Inclusion in the Indian Workplace,Parmesh Shahani,4.7,5.0,836.0,709.0,442,Workplace Culture,The reading Section 377 Supreme Court 2018 led fundamental shift right India ’ LGBTQ citizen necessitated policy change across board - least conservative world Indian business .,1
Yupi 65 (UP 65) (Hindi Edition),Nikhil Sachan,4.4,261.5,668.0,355.0,673,Romance (Books),"UP 65 Nikhil Sachan 's third book remarkable success Namak Swadanusar Zindagi Aais Pais . As Nikhil say , book giveback Banaras BHU two place given .",0
"Develop Self-Confidence, Improve Public Speaking",Dale Carnegie,4.3,331.0,668.0,452.0,563,Personal Development & Self-Help,"The book focus open talk , close talk , essential element successful speaking , improve memory , secret good delivery spellbind audience . The book consists many technique improvement public speaking . If wish make individuality , go audience rested . A tired man magnetic attractive . A must-listen book continually improve speaking skill , public speaking skill conversation skill boost self-confidence.It 's also helpful making impromptu speech .",1
Common Stocks and Uncommon Profits and Other Writings: 2nd Edition,Philip A. Fisher,4.2,503.5,703.0,790.0,331,Textbooks & Study Guides,"Widely respected admired , Philip Fisher among influential investor time . His investment philosophy , introduced almost 40 year ago , studied applied today 's financier investor , also regarded many gospel . This book invaluable investor since first published 1958 . This updated edition retains investment wisdom original edition includes perspective author 's son Ken Fisher , investment guru right , expanded preface introduction .",1
Dealmaking: The New Strategy of Negotiauctions (Second Edition),Guhan Subramanian,4.5,14.0,879.0,485.0,1,Theory & Philosophy,"`` Packed transformative insight , Dealmaking help new generation business leader get yes . '' ( William Ury , coauthor Getting Yes )",1
O Jerusalem: Day by Day and Minute by Minute the Historic Struggle for Jerusalem and the Birth of Israel,Larry Collins,4.6,216.0,1338.0,1428.0,1,United States Politics & Government,"By completing purchase agree Audible ’ Conditions Use , Amazon 's Privacy Notice applicable Audible 's Recurring Payment Terms .",4
Getting to Yes: Negotiating an Agreement Without Giving In,Roger Fisher,4.5,311.5,683.0,376.0,586,Personal Development & Self-Help,"Negotiation way life majority u . Whether 're work , home simply going , want participate decision affect u . Nowadays , hardly anyone get day without single negotiation , yet , u armed effective , powerful negotiating skill prevent stubborn haggling ensure mutual problem solving .",1
Krishna Kunji [Krishna Key],Ashwin Sanghi,4.3,140.0,1003.0,911.0,849,Mysteries,"Five thousand year ago , came earth magical called Krishna , brought innumerable miracle good mankind . Humanity despaired fate Blue God die reassured would return fresh avatar needed eventual Dark Age - Kaliyug .",1
The Anatomy of Success: Management Lessons from a Surgeon,Rakesh Sinha,4.6,33.0,668.0,370.0,519,Personal Development & Self-Help,"How different people 's life approach success way medical profession , matter life death ? What medicine teach u beating odds ? In job work life , genuinely best ?",1
